sex,age,age_month,L,M,S
1,2,24,-0.6187 ,16.0189 ,0.0779 
1,,25,-0.5840 ,15.9800 ,0.0779 
1,,26,-0.5497 ,15.9414 ,0.0780 
1,,27,-0.5166 ,15.9036 ,0.0781 
1,,28,-0.4850 ,15.8667 ,0.0782 
1,,29,-0.4552 ,15.8306 ,0.0783 
1,,30,-0.4274 ,15.7953 ,0.0784 
1,,31,-0.4016 ,15.7606 ,0.0785 
1,,32,-0.3782 ,15.7267 ,0.0787 
1,,33,-0.3572 ,15.6934 ,0.0788 
1,,34,-0.3388 ,15.6610 ,0.0790 
1,,35,-0.3231 ,15.6294 ,0.0791 
1,3,36,1.8637 ,15.9455 ,0.0665 
1,,37,1.7284 ,15.9431 ,0.0672 
1,,38,1.5969 ,15.9406 ,0.0679 
1,,39,1.4694 ,15.9381 ,0.0686 
1,,40,1.3456 ,15.9355 ,0.0692 
1,,41,1.2257 ,15.9328 ,0.0699 
1,,42,1.1096 ,15.9302 ,0.0706 
1,,43,0.9972 ,15.9275 ,0.0712 
1,,44,0.8886 ,15.9248 ,0.0719 
1,,45,0.7835 ,15.9222 ,0.0725 
1,,46,0.6821 ,15.9195 ,0.0731 
1,,47,0.5841 ,15.9169 ,0.0737 
1,4,48,0.4885 ,15.9165 ,0.0744 
1,,49,0.3966 ,15.9162 ,0.0750 
1,,50,0.3084 ,15.9160 ,0.0757 
1,,51,0.2237 ,15.9158 ,0.0763 
1,,52,0.1425 ,15.9156 ,0.0769 
1,,53,0.0647 ,15.9156 ,0.0775 
1,,54,-0.0100 ,15.9156 ,0.0781 
1,,55,-0.0815 ,15.9156 ,0.0788 
1,,56,-0.1500 ,15.9158 ,0.0793 
1,,57,-0.2156 ,15.9160 ,0.0799 
1,,58,-0.2784 ,15.9163 ,0.0805 
1,,59,-0.3385 ,15.9167 ,0.0811 
1,5,60,-0.3931 ,15.9217 ,0.0818 
1,,61,-0.4449 ,15.9268 ,0.0824 
1,,62,-0.4942 ,15.9320 ,0.0831 
1,,63,-0.5409 ,15.9373 ,0.0838 
1,,64,-0.5853 ,15.9426 ,0.0844 
1,,65,-0.6274 ,15.9480 ,0.0851 
1,,66,-0.6673 ,15.9535 ,0.0857 
1,,67,-0.7053 ,15.9591 ,0.0863 
1,,68,-0.7413 ,15.9647 ,0.0870 
1,,69,-0.7754 ,15.9704 ,0.0876 
1,,70,-0.8078 ,15.9762 ,0.0883 
1,,71,-0.8385 ,15.9820 ,0.0889 
1,6,72,-0.8494 ,16.0100 ,0.0899 
1,,73,-0.8590 ,16.0380 ,0.0909 
1,,74,-0.8675 ,16.0661 ,0.0919 
1,,75,-0.8749 ,16.0942 ,0.0929 
1,,76,-0.8814 ,16.1223 ,0.0939 
1,,77,-0.8869 ,16.1504 ,0.0948 
1,,78,-0.8916 ,16.1786 ,0.0958 
1,,79,-0.8955 ,16.2068 ,0.0968 
1,,80,-0.8987 ,16.2350 ,0.0978 
1,,81,-0.9013 ,16.2633 ,0.0987 
1,,82,-0.9032 ,16.2916 ,0.0997 
1,,83,-0.9046 ,16.3199 ,0.1007 
1,7,84,-0.8944 ,16.3645 ,0.1018 
1,,85,-0.8842 ,16.4092 ,0.1029 
1,,86,-0.8741 ,16.4538 ,0.1040 
1,,87,-0.8639 ,16.4985 ,0.1051 
1,,88,-0.8538 ,16.5431 ,0.1062 
1,,89,-0.8438 ,16.5878 ,0.1073 
1,,90,-0.8339 ,16.6324 ,0.1084 
1,,91,-0.8240 ,16.6771 ,0.1095 
1,,92,-0.8142 ,16.7218 ,0.1105 
1,,93,-0.8044 ,16.7664 ,0.1116 
