age_1,age,year,people_num
'0401,0,2005,432538.5
'0402,1,2005,480935.5
'0403,2,2005,492441
'0404,3,2005,526186.5
'0405,4,2005,599063
'0501,5,2005,629830.5
'0502,6,2005,630960
'0503,7,2005,657726
'0504,8,2005,680663.5
'0505,9,2005,698708
'0701,10,2005,712895.5
'0702,11,2005,713909
'0703,12,2005,719411.5
'0704,13,2005,714831
'0705,14,2005,671582.5
'1001,15,2005,635116
'1002,16,2005,626900
'1003,17,2005,619128.5
'1004,18,2005,619426.5
'1005,19,2005,636831.5
'1201,20,2005,653968.5
'1202,21,2005,701972
'1203,22,2005,782296.5
'1204,23,2005,828483.5
'1205,24,2005,836230
'1301,25,2005,829683.5
'1302,26,2005,772314.5
'1303,27,2005,748545.5
'1304,28,2005,769161.5
'1305,29,2005,774798.5
'1501,30,2005,823387.5
'0401,0,2006,419297.5
'0402,1,2006,452105
'0403,2,2006,481863.5
'0404,3,2006,493123.5
'0405,4,2006,526681.5
'0501,5,2006,599450.5
'0502,6,2006,630155
'0503,7,2006,631065
'0504,8,2006,657291
'0505,9,2006,680142.5
'0701,10,2006,698323.5
'0702,11,2006,712451.5
'0703,12,2006,713534
'0704,13,2006,718651.5
'0705,14,2006,714261.5
'1001,15,2006,670994
'1002,16,2006,634379
'1003,17,2006,626146
'1004,18,2006,618435
'1005,19,2006,618835.5
'1201,20,2006,636242
'1202,21,2006,653455.5
'1203,22,2006,701680
'1204,23,2006,781960
'1205,24,2006,828294.5
'1301,25,2006,836015
'1302,26,2006,829690.5
'1303,27,2006,772175
'1304,28,2006,748502
'1305,29,2006,768943.5
'1501,30,2006,774681
'0401,0,2007,447497.5
'0402,1,2007,439612.5
'0403,2,2007,452958
'0404,3,2007,482522
'0405,4,2007,493564.5
'0501,5,2007,526975
'0502,6,2007,599722.5
'0503,7,2007,630233
'0504,8,2007,630707.5
'0505,9,2007,656900.5
'0701,10,2007,679763
'0702,11,2007,697941
'0703,12,2007,712182.5
'0704,13,2007,712963
'0705,14,2007,718217.5
'1001,15,2007,713771
'1002,16,2007,670440.5
'1003,17,2007,633761
'1004,18,2007,625549.5
'1005,19,2007,617969.5
'1201,20,2007,618338.5
'1202,21,2007,635878.5
'1203,22,2007,653278.5
'1204,23,2007,701356
'1205,24,2007,781726.5
'1301,25,2007,828149.5
'1302,26,2007,835934.5
'1303,27,2007,829489
'1304,28,2007,772158
'1305,29,2007,748389.5
'1501,30,2007,768987
'0401,0,2008,457339.5
'0402,1,2008,468800.5
'0403,2,2008,440415
'0404,3,2008,453468.5
'0405,4,2008,482888.5
'0501,5,2008,493720.5
'0502,6,2008,527165
'0503,7,2008,599674.5
'0504,8,2008,629976
'0505,9,2008,630390.5
'0701,10,2008,656573.5
'0702,11,2008,679453.5
'0703,12,2008,697688.5
'0704,13,2008,711713.5
'0705,14,2008,712563.5
'1001,15,2008,717872
'1002,16,2008,713271.5
'1003,17,2008,669876.5
'1004,18,2008,633279.5
'1005,19,2008,625204.5
'1201,20,2008,617621
'1202,21,2008,618114.5
'1203,22,2008,635684.5
'1204,23,2008,653024.5
'1205,24,2008,701228
'1301,25,2008,781755
'1302,26,2008,828278.5
'1303,27,2008,835965.5
'1304,28,2008,829702.5
'1305,29,2008,772457.5
'1501,30,2008,748712
'0401,0,2009,434475
'0402,1,2009,477890
'0403,2,2009,469683
'0404,3,2009,440876
'0405,4,2009,453817.5
'0501,5,2009,483013
'0502,6,2009,493850
'0503,7,2009,527080
'0504,8,2009,599472
'0505,9,2009,629759.5
'0701,10,2009,630137.5
'0702,11,2009,656265
'0703,12,2009,679148.5
'0704,13,2009,697265.5
'0705,14,2009,711254.5
'1001,15,2009,712191
'1002,16,2009,717320
'1003,17,2009,712661
'1004,18,2009,669253
'1005,19,2009,632790
'1201,20,2009,624828
'1202,21,2009,617421
'1203,22,2009,618004
'1204,23,2009,635731
'1205,24,2009,653096.5
'1301,25,2009,701365
'1302,26,2009,781999
'1303,27,2009,828420.5
'1304,28,2009,836101.5
'1305,29,2009,829983.5
'1501,30,2009,772651
'000,NA,2010,49879811.5
'0401,0,2010,436502
'0402,1,2010,454067.5
'0403,2,2010,478957
'0404,3,2010,470345
'0405,4,2010,441328.5
'0501,5,2010,454057.5
'0502,6,2010,483184.5
'0503,7,2010,493811.5
'0504,8,2010,526957.5
'0505,9,2010,599303.5
'0701,10,2010,629446
'0702,11,2010,629845.5
'0703,12,2010,655933.5
'0704,13,2010,678670.5
'0705,14,2010,696772
'1001,15,2010,710752
'1002,16,2010,711559
'1003,17,2010,716572
'1004,18,2010,711866.5
'1005,19,2010,668590
'1201,20,2010,632322.5
'1202,21,2010,624551
'1203,22,2010,617299
'1204,23,2010,618024.5
'1205,24,2010,635607
'1301,25,2010,653052
'1302,26,2010,701254
'1303,27,2010,781715.5
'1304,28,2010,828024
'1305,29,2010,835659
'1501,30,2010,829526.5
'0401,0,2011,450018.5
'0402,1,2011,456998.5
'0403,2,2011,455387
'0404,3,2011,479976
'0405,4,2011,471081
'0501,5,2011,441768
'0502,6,2011,454389
'0503,7,2011,483281
'0504,8,2011,493841.5
'0505,9,2011,526899
'0701,10,2011,599124
'0702,11,2011,629250
'0703,12,2011,629668.5
'0704,13,2011,655547
'0705,14,2011,678259.5
'1001,15,2011,696310.5
'1002,16,2011,710208
'1003,17,2011,710906
'1004,18,2011,715921.5
'1005,19,2011,711331
'1201,20,2011,668263.5
'1202,21,2011,632094.5
'1203,22,2011,624479.5
'1204,23,2011,617388.5
'1205,24,2011,618144.5
'1301,25,2011,635773
'1302,26,2011,653123.5
'1303,27,2011,701175
'1304,28,2011,781503.5
'1305,29,2011,827689.5
'1501,30,2011,835359
'0401,0,2012,457958.5
'0402,1,2012,471167.5
'0403,2,2012,458082
'0404,3,2012,456401.5
'0405,4,2012,480737.5
'0501,5,2012,471550
'0502,6,2012,442116.5
'0503,7,2012,454534
'0504,8,2012,483323.5
'0505,9,2012,493846.5
'0701,10,2012,526821.5
'0702,11,2012,598941
'0703,12,2012,629125.5
'0704,13,2012,629360
'0705,14,2012,655168
'1001,15,2012,677807.5
'1002,16,2012,695804
'1003,17,2012,709613
'1004,18,2012,710275
'1005,19,2012,715364
'1201,20,2012,710872.5
'1202,21,2012,667870.5
'1203,22,2012,631830
'1204,23,2012,624486
'1205,24,2012,617609.5
'1301,25,2012,618405.5
'1302,26,2012,636020.5
'1303,27,2012,653297.5
'1304,28,2012,701259.5
'1305,29,2012,781419.5
'1501,30,2012,827502
'0401,0,2013,442901
'0402,1,2013,479390.5
'0403,2,2013,472397
'0404,3,2013,458973
'0405,4,2013,457069
'0501,5,2013,481147.5
'0502,6,2013,471876.5
'0503,7,2013,442261.5
'0504,8,2013,454584.5
'0505,9,2013,483324
'0701,10,2013,493778
'0702,11,2013,526708.5
'0703,12,2013,598854.5
'0704,13,2013,628918
'0705,14,2013,629123
'1001,15,2013,654840
'1002,16,2013,677427.5
'1003,17,2013,695297
'1004,18,2013,709092
'1005,19,2013,709713
'1201,20,2013,714833.5
'1202,21,2013,710417
'1203,22,2013,667537
'1204,23,2013,631721
'1205,24,2013,624570.5
'1301,25,2013,617716.5
'1302,26,2013,618516
'1303,27,2013,636121.5
'1304,28,2013,653321
'1305,29,2013,701105.5
'1501,30,2013,781198
'0401,0,2014,420635
'0402,1,2014,462658
'0403,2,2014,480953
'0404,3,2014,473310
'0405,4,2014,459687.5
'0501,5,2014,457520.5
'0502,6,2014,481535.5
'0503,7,2014,472114.5
'0504,8,2014,442393.5
'0505,9,2014,454665
'0701,10,2014,483349
'0702,11,2014,493761
'0703,12,2014,526714
'0704,13,2014,598792.5
'0705,14,2014,628826.5
'1001,15,2014,629001.5
'1002,16,2014,654632
'1003,17,2014,677053.5
'1004,18,2014,694978
'1005,19,2014,708713.5
'1201,20,2014,709368
'1202,21,2014,714542
'1203,22,2014,710320.5
'1204,23,2014,667595.5
'1205,24,2014,631959.5
'1301,25,2014,624792.5
'1302,26,2014,617955.5
'1303,27,2014,618818.5
'1304,28,2014,636345.5
'1305,29,2014,653488.5
'1501,30,2014,701202.5
'0401,0,2015,422182.5
'0402,1,2015,438330.5
'0403,2,2015,463897
'0404,3,2015,481665
'0405,4,2015,473899.5
'0501,5,2015,460064.5
'0502,6,2015,457820.5
'0503,7,2015,481708.5
'0504,8,2015,472242.5
'0505,9,2015,442474.5
'0701,10,2015,454684.5
'0702,11,2015,483311.5
'0703,12,2015,493756.5
'0704,13,2015,526637.5
'0705,14,2015,598679
'1001,15,2015,628710.5
'1002,16,2015,628798
'1003,17,2015,654250.5
'1004,18,2015,676656
'1005,19,2015,694601
'1201,20,2015,708290
'1202,21,2015,709040
'1203,22,2015,714331
'1204,23,2015,710207
'1205,24,2015,667572
'1301,25,2015,632005
'1302,26,2015,624878.5
'1303,27,2015,618072
'1304,28,2015,618906
'1305,29,2015,636377.5
'1501,30,2015,653464
'0401,0,2016,409098
'0402,1,2016,439788.5
'0403,2,2016,439481.5
'0404,3,2016,464456
'0405,4,2016,482097.5
'0501,5,2016,474158.5
'0502,6,2016,460276
'0503,7,2016,457923
'0504,8,2016,481795
'0505,9,2016,472283
'0701,10,2016,442495
'0702,11,2016,454675.5
'0703,12,2016,483306
'0704,13,2016,493662
'0705,14,2016,526521
'1001,15,2016,598557
'1002,16,2016,628497.5
'1003,17,2016,628457.5
'1004,18,2016,653811
'1005,19,2016,676231
'1201,20,2016,694059.5
'1202,21,2016,707930
'1203,22,2016,708689
'1204,23,2016,714033
'1205,24,2016,709972
'1301,25,2016,667482
'1302,26,2016,632002
'1303,27,2016,624859.5
'1304,28,2016,618048
'1305,29,2016,618877
'1501,30,2016,636374
'0401,0,2017,369710.5
'0402,1,2017,425705
'0403,2,2017,440967
'0404,3,2017,439957
'0405,4,2017,464792
'0501,5,2017,482297
'0502,6,2017,474368
'0503,7,2017,460371.5
'0504,8,2017,457979
'0505,9,2017,481854
'0701,10,2017,472316.5
'0702,11,2017,442523.5
'0703,12,2017,454655.5
'0704,13,2017,483215
'0705,14,2017,493509.5
'1001,15,2017,526372
'1002,16,2017,598288.5
'1003,17,2017,628103.5
'1004,18,2017,628040
'1005,19,2017,653303.5
'1201,20,2017,675631.5
'1202,21,2017,693647
'1203,22,2017,707546.5
'1204,23,2017,708307.5
'1205,24,2017,713826.5
'1301,25,2017,709758
'1302,26,2017,667453.5
'1303,27,2017,632076.5
'1304,28,2017,624845.5
'1305,29,2017,618139
'1501,30,2017,618977.5
'0401,0,2018,331722
'0402,1,2018,385664
'0403,2,2018,426981
'0404,3,2018,441487
'0405,4,2018,440314.5
'0501,5,2018,464973
