age,year,people_num
0,2005,432538.5
1,2005,480935.5
2,2005,492441
3,2005,526186.5
4,2005,599063
5,2005,629830.5
6,2005,630960
7,2005,657726
8,2005,680663.5
9,2005,698708
10,2005,712895.5
11,2005,713909
12,2005,719411.5
13,2005,714831
14,2005,671582.5
15,2005,635116
16,2005,626900
17,2005,619128.5
18,2005,619426.5
19,2005,636831.5
20,2005,653968.5
21,2005,701972
22,2005,782296.5
23,2005,828483.5
24,2005,836230
25,2005,829683.5
26,2005,772314.5
27,2005,748545.5
28,2005,769161.5
29,2005,774798.5
30,2005,823387.5
0,2006,419297.5
1,2006,452105
2,2006,481863.5
3,2006,493123.5
4,2006,526681.5
5,2006,599450.5
6,2006,630155
7,2006,631065
8,2006,657291
9,2006,680142.5
10,2006,698323.5
11,2006,712451.5
12,2006,713534
13,2006,718651.5
14,2006,714261.5
15,2006,670994
16,2006,634379
17,2006,626146
18,2006,618435
19,2006,618835.5
20,2006,636242
21,2006,653455.5
22,2006,701680
23,2006,781960
24,2006,828294.5
25,2006,836015
26,2006,829690.5
27,2006,772175
28,2006,748502
29,2006,768943.5
30,2006,774681
0,2007,447497.5
1,2007,439612.5
2,2007,452958
3,2007,482522
4,2007,493564.5
5,2007,526975
6,2007,599722.5
7,2007,630233
8,2007,630707.5
9,2007,656900.5
10,2007,679763
11,2007,697941
12,2007,712182.5
13,2007,712963
14,2007,718217.5
15,2007,713771
16,2007,670440.5
17,2007,633761
18,2007,625549.5
19,2007,617969.5
20,2007,618338.5
21,2007,635878.5
22,2007,653278.5
23,2007,701356
24,2007,781726.5
25,2007,828149.5
26,2007,835934.5
27,2007,829489
28,2007,772158
29,2007,748389.5
30,2007,768987
0,2008,457339.5
1,2008,468800.5
2,2008,440415
3,2008,453468.5
4,2008,482888.5
5,2008,493720.5
6,2008,527165
7,2008,599674.5
8,2008,629976
9,2008,630390.5
10,2008,656573.5
11,2008,679453.5
12,2008,697688.5
13,2008,711713.5
14,2008,712563.5
15,2008,717872
16,2008,713271.5
17,2008,669876.5
18,2008,633279.5
19,2008,625204.5
20,2008,617621
21,2008,618114.5
22,2008,635684.5
23,2008,653024.5
24,2008,701228
25,2008,781755
26,2008,828278.5
27,2008,835965.5
28,2008,829702.5
29,2008,772457.5
30,2008,748712
0,2009,434475
1,2009,477890
2,2009,469683
3,2009,440876
4,2009,453817.5
5,2009,483013
6,2009,493850
7,2009,527080
8,2009,599472
9,2009,629759.5
10,2009,630137.5
11,2009,656265
12,2009,679148.5
13,2009,697265.5
14,2009,711254.5
15,2009,712191
16,2009,717320
17,2009,712661
18,2009,669253
19,2009,632790
20,2009,624828
21,2009,617421
22,2009,618004
23,2009,635731
24,2009,653096.5
25,2009,701365
26,2009,781999
27,2009,828420.5
28,2009,836101.5
29,2009,829983.5
30,2009,772651
NA,2010,49879811.5
0,2010,436502
1,2010,454067.5
2,2010,478957
3,2010,470345
4,2010,441328.5
5,2010,454057.5
6,2010,483184.5
7,2010,493811.5
8,2010,526957.5
9,2010,599303.5
10,2010,629446
11,2010,629845.5
12,2010,655933.5
13,2010,678670.5
14,2010,696772
15,2010,710752
16,2010,711559
17,2010,716572
18,2010,711866.5
19,2010,668590
20,2010,632322.5
21,2010,624551
22,2010,617299
23,2010,618024.5
24,2010,635607
25,2010,653052
26,2010,701254
27,2010,781715.5
28,2010,828024
29,2010,835659
30,2010,829526.5
0,2011,450018.5
1,2011,456998.5
2,2011,455387
3,2011,479976
4,2011,471081
5,2011,441768
6,2011,454389
7,2011,483281
8,2011,493841.5
9,2011,526899
10,2011,599124
11,2011,629250
12,2011,629668.5
13,2011,655547
14,2011,678259.5
15,2011,696310.5
16,2011,710208
17,2011,710906
18,2011,715921.5
19,2011,711331
20,2011,668263.5
21,2011,632094.5
22,2011,624479.5
23,2011,617388.5
24,2011,618144.5
25,2011,635773
26,2011,653123.5
27,2011,701175
28,2011,781503.5
29,2011,827689.5
30,2011,835359
0,2012,457958.5
1,2012,471167.5
2,2012,458082
3,2012,456401.5
4,2012,480737.5
5,2012,471550
6,2012,442116.5
7,2012,454534
8,2012,483323.5
9,2012,493846.5
10,2012,526821.5
11,2012,598941
12,2012,629125.5
13,2012,629360
14,2012,655168
15,2012,677807.5
16,2012,695804
17,2012,709613
18,2012,710275
19,2012,715364
20,2012,710872.5
21,2012,667870.5
22,2012,631830
23,2012,624486
24,2012,617609.5
25,2012,618405.5
26,2012,636020.5
27,2012,653297.5
28,2012,701259.5
29,2012,781419.5
30,2012,827502
0,2013,442901
1,2013,479390.5
2,2013,472397
3,2013,458973
4,2013,457069
5,2013,481147.5
6,2013,471876.5
7,2013,442261.5
8,2013,454584.5
9,2013,483324
10,2013,493778
11,2013,526708.5
12,2013,598854.5
13,2013,628918
14,2013,629123
15,2013,654840
16,2013,677427.5
17,2013,695297
18,2013,709092
19,2013,709713
20,2013,714833.5
21,2013,710417
22,2013,667537
23,2013,631721
24,2013,624570.5
25,2013,617716.5
26,2013,618516
27,2013,636121.5
28,2013,653321
29,2013,701105.5
30,2013,781198
0,2014,420635
1,2014,462658
2,2014,480953
3,2014,473310
4,2014,459687.5
5,2014,457520.5
6,2014,481535.5
7,2014,472114.5
8,2014,442393.5
9,2014,454665
10,2014,483349
11,2014,493761
12,2014,526714
13,2014,598792.5
14,2014,628826.5
15,2014,629001.5
16,2014,654632
17,2014,677053.5
18,2014,694978
19,2014,708713.5
20,2014,709368
21,2014,714542
22,2014,710320.5
23,2014,667595.5
24,2014,631959.5
25,2014,624792.5
26,2014,617955.5
27,2014,618818.5
28,2014,636345.5
29,2014,653488.5
30,2014,701202.5
0,2015,422182.5
1,2015,438330.5
2,2015,463897
3,2015,481665
4,2015,473899.5
5,2015,460064.5
6,2015,457820.5
7,2015,481708.5
8,2015,472242.5
9,2015,442474.5
10,2015,454684.5
11,2015,483311.5
12,2015,493756.5
13,2015,526637.5
14,2015,598679
15,2015,628710.5
16,2015,628798
17,2015,654250.5
18,2015,676656
19,2015,694601
20,2015,708290
21,2015,709040
22,2015,714331
23,2015,710207
24,2015,667572
25,2015,632005
26,2015,624878.5
27,2015,618072
28,2015,618906
29,2015,636377.5
30,2015,653464
0,2016,409098
1,2016,439788.5
2,2016,439481.5
3,2016,464456
4,2016,482097.5
5,2016,474158.5
6,2016,460276
7,2016,457923
8,2016,481795
9,2016,472283
10,2016,442495
11,2016,454675.5
12,2016,483306
13,2016,493662
14,2016,526521
15,2016,598557
16,2016,628497.5
17,2016,628457.5
18,2016,653811
19,2016,676231
20,2016,694059.5
21,2016,707930
22,2016,708689
23,2016,714033
24,2016,709972
25,2016,667482
26,2016,632002
27,2016,624859.5
28,2016,618048
29,2016,618877
30,2016,636374
0,2017,369710.5
1,2017,425705
2,2017,440967
3,2017,439957
4,2017,464792
5,2017,482297
6,2017,474368
7,2017,460371.5
8,2017,457979
9,2017,481854
10,2017,472316.5
11,2017,442523.5
12,2017,454655.5
13,2017,483215
14,2017,493509.5
15,2017,526372
16,2017,598288.5
17,2017,628103.5
18,2017,628040
