sex,age_month,height,percentile
m,0,45.5,1
m,0,46.3,3
m,0,46.8,5
m,0,47.5,10
m,0,47.9,15
m,0,48.6,25
m,0,49.9,50
m,0,51.2,75
m,0,51.8,85
m,0,52.3,90
m,0,53,95
m,0,53.4,97
m,0,54.3,99
m,1,50.2,1
m,1,51.1,3
m,1,51.5,5
m,1,52.2,10
m,1,52.7,15
m,1,53.4,25
m,1,54.7,50
m,1,56,75
m,1,56.7,85
m,1,57.2,90
m,1,57.9,95
m,1,58.4,97
m,1,59.3,99
m,2,53.8,1
m,2,54.7,3
m,2,55.1,5
m,2,55.9,10
m,2,56.4,15
m,2,57.1,25
m,2,58.4,50
m,2,59.8,75
m,2,60.5,85
m,2,61,90
m,2,61.7,95
m,2,62.2,97
m,2,63.1,99
m,3,56.7,1
m,3,57.6,3
m,3,58.1,5
m,3,58.8,10
m,3,59.3,15
m,3,60.1,25
m,3,61.4,50
m,3,62.8,75
m,3,63.5,85
m,3,64,90
m,3,64.8,95
m,3,65.3,97
m,3,66.2,99
m,4,59,1
m,4,60,3
m,4,60.5,5
m,4,61.2,10
m,4,61.7,15
m,4,62.5,25
m,4,63.9,50
m,4,65.3,75
m,4,66,85
m,4,66.6,90
m,4,67.3,95
m,4,67.8,97
m,4,68.7,99
m,5,61,1
m,5,61.9,3
m,5,62.4,5
m,5,63.2,10
m,5,63.7,15
m,5,64.5,25
m,5,65.9,50
m,5,67.3,75
m,5,68.1,85
m,5,68.6,90
m,5,69.4,95
m,5,69.9,97
m,5,70.8,99
m,6,62.6,1
m,6,63.6,3
m,6,64.1,5
m,6,64.9,10
m,6,65.4,15
m,6,66.2,25
m,6,67.6,50
m,6,69.1,75
m,6,69.8,85
m,6,70.4,90
m,6,71.1,95
m,6,71.6,97
m,6,72.6,99
m,7,64.1,1
m,7,65.1,3
m,7,65.6,5
m,7,66.4,10
m,7,66.9,15
m,7,67.7,25
m,7,69.2,50
m,7,70.6,75
m,7,71.4,85
m,7,71.9,90
m,7,72.7,95
m,7,73.2,97
m,7,74.2,99
m,8,65.5,1
m,8,66.5,3
m,8,67,5
m,8,67.8,10
m,8,68.3,15
m,8,69.1,25
m,8,70.6,50
m,8,72.1,75
m,8,72.9,85
m,8,73.4,90
m,8,74.2,95
m,8,74.7,97
m,8,75.7,99
m,9,66.8,1
m,9,67.7,3
m,9,68.3,5
m,9,69.1,10
m,9,69.6,15
m,9,70.5,25
m,9,72,50
m,9,73.5,75
m,9,74.3,85
m,9,74.8,90
m,9,75.7,95
m,9,76.2,97
m,9,77.2,99
m,10,68,1
m,10,69,3
m,10,69.5,5
m,10,70.4,10
m,10,70.9,15
m,10,71.7,25
m,10,73.3,50
m,10,74.8,75
m,10,75.6,85
m,10,76.2,90
m,10,77,95
m,10,77.6,97
m,10,78.6,99
m,11,69.1,1
m,11,70.2,3
m,11,70.7,5
m,11,71.6,10
m,11,72.1,15
m,11,73,25
m,11,74.5,50
m,11,76.1,75
m,11,77,85
m,11,77.5,90
m,11,78.4,95
m,11,78.9,97
m,11,80,99
m,12,70.2,1
m,12,71.3,3
m,12,71.8,5
m,12,72.7,10
m,12,73.3,15
m,12,74.1,25
m,12,75.7,50
m,12,77.4,75
m,12,78.2,85
m,12,78.8,90
m,12,79.7,95
m,12,80.2,97
m,12,81.3,99
m,13,71.3,1
m,13,72.4,3
m,13,72.9,5
m,13,73.8,10
m,13,74.4,15
m,13,75.3,25
m,13,76.9,50
m,13,78.6,75
m,13,79.4,85
m,13,80,90
m,13,80.9,95
m,13,81.5,97
m,13,82.6,99
m,14,72.3,1
m,14,73.4,3
m,14,74,5
m,14,74.9,10
m,14,75.5,15
m,14,76.4,25
m,14,78,50
m,14,79.7,75
m,14,80.6,85
m,14,81.2,90
m,14,82.1,95
m,14,82.7,97
m,14,83.8,99
m,15,73.3,1
m,15,74.4,3
m,15,75,5
m,15,75.9,10
m,15,76.5,15
m,15,77.4,25
m,15,79.1,50
m,15,80.9,75
m,15,81.8,85
m,15,82.4,90
m,15,83.3,95
m,15,83.9,97
m,15,85,99
m,16,74.2,1
m,16,75.4,3
m,16,76,5
m,16,76.9,10
m,16,77.5,15
m,16,78.5,25
m,16,80.2,50
m,16,82,75
m,16,82.9,85
m,16,83.5,90
m,16,84.5,95
m,16,85.1,97
m,16,86.2,99
m,17,75.1,1
m,17,76.3,3
m,17,76.9,5
m,17,77.9,10
m,17,78.5,15
m,17,79.5,25
m,17,81.2,50
m,17,83,75
m,17,84,85
m,17,84.6,90
m,17,85.6,95
m,17,86.2,97
m,17,87.4,99
m,18,76,1
m,18,77.2,3
m,18,77.8,5
m,18,78.8,10
m,18,79.5,15
m,18,80.4,25
m,18,82.3,50
m,18,84.1,75
m,18,85.1,85
m,18,85.7,90
m,18,86.7,95
m,18,87.3,97
m,18,88.5,99
m,19,76.8,1
m,19,78.1,3
m,19,78.7,5
m,19,79.7,10
m,19,80.4,15
m,19,81.4,25
m,19,83.2,50
m,19,85.1,75
m,19,86.1,85
m,19,86.8,90
m,19,87.8,95
m,19,88.4,97
m,19,89.7,99
m,20,77.7,1
m,20,78.9,3
m,20,79.6,5
m,20,80.6,10
m,20,81.3,15
m,20,82.3,25
m,20,84.2,50
m,20,86.1,75
m,20,87.1,85
m,20,87.8,90
m,20,88.8,95
m,20,89.5,97
m,20,90.7,99
m,21,78.4,1
m,21,79.7,3
m,21,80.4,5
m,21,81.5,10
m,21,82.2,15
m,21,83.2,25
m,21,85.1,50
m,21,87.1,75
m,21,88.1,85
m,21,88.8,90
m,21,89.9,95
m,21,90.5,97
m,21,91.8,99
m,22,79.2,1
m,22,80.5,3
m,22,81.2,5
m,22,82.3,10
m,22,83,15
m,22,84.1,25
m,22,86,50
m,22,88,75
m,22,89.1,85
m,22,89.8,90
m,22,90.9,95
m,22,91.6,97
m,22,92.9,99
m,23,80,1
m,23,81.3,3
m,23,82,5
m,23,83.1,10
m,23,83.8,15
m,23,84.9,25
m,23,86.9,50
m,23,89,75
m,23,90,85
m,23,90.8,90
m,23,91.9,95
m,23,92.6,97
m,23,93.9,99
m,24,80,1
m,24,81.4,3
m,24,82.1,5
m,24,83.2,10
m,24,83.9,15
m,24,85.1,25
m,24,87.1,50
m,24,89.2,75
m,24,90.3,85
m,24,91,90
m,24,92.1,95
m,24,92.9,97
m,24,94.2,99
m,25,80.7,1
m,25,82.1,3
m,25,82.8,5
m,25,84,10
m,25,84.7,15
m,25,85.9,25
m,25,88,50
m,25,90.1,75
m,25,91.2,85
m,25,92,90
m,25,93.1,95
m,25,93.8,97
m,25,95.2,99
m,26,81.4,1
m,26,82.8,3
m,26,83.6,5
m,26,84.7,10
m,26,85.5,15
m,26,86.7,25
m,26,88.8,50
m,26,90.9,75
m,26,92.1,85
m,26,92.9,90
m,26,94,95
m,26,94.8,97
m,26,96.2,99
m,27,82.1,1
m,27,83.5,3
m,27,84.3,5
m,27,85.5,10
m,27,86.3,15
m,27,87.4,25
m,27,89.6,50
m,27,91.8,75
m,27,93,85
m,27,93.8,90
m,27,94.9,95
m,27,95.7,97
m,27,97.1,99
m,28,82.8,1
m,28,84.2,3
m,28,85,5
m,28,86.2,10
