age,sex,L,M,S
5,f,0.487,77.2,0.07
5.5,f,0.675,77.5,0.07
6,f,0.864,77.8,0.07
6.5,f,1.051,78,0.07
7,f,1.239,78.2,0.071
7.5,f,1.427,78.4,0.071
8,f,1.618,78.6,0.071
8.5,f,1.811,78.8,0.071
9,f,2.001,79,0.071
9.5,f,2.181,79.2,0.071
10,f,2.352,79.4,0.071
10.5,f,2.508,79.6,0.072
11,f,2.64,79.9,0.072
11.5,f,2.749,80.2,0.073
12,f,2.836,80.5,0.073
12.5,f,2.902,80.9,0.074
13,f,2.957,81.2,0.074
13.5,f,3.008,81.5,0.074
14,f,3.061,81.9,0.074
14.5,f,3.121,82.2,0.073
15,f,3.183,82.4,0.073
15.5,f,3.243,82.7,0.072
16,f,3.302,83,0.072
5,m,-2.063,76.9,0.071
5.5,m,-1.918,77.4,0.071
6,m,-1.772,77.9,0.071
6.5,m,-1.61,78.3,0.071
7,m,-1.447,78.7,0.071
7.5,m,-1.262,79,0.072
8,m,-1.078,79.3,0.072
8.5,m,-0.87,79.5,0.073
9,m,-0.651,79.7,0.073
9.5,m,-0.409,79.9,0.074
10,m,-0.146,80.2,0.075
10.5,m,0.139,80.5,0.075
11,m,0.443,80.8,0.076
11.5,m,0.774,81.2,0.077
12,m,1.119,81.7,0.077
12.5,m,1.47,82.1,0.078
13,m,1.822,82.7,0.078
13.5,m,2.173,83.2,0.078
14,m,2.525,83.8,0.078
14.5,m,2.874,84.4,0.078
15,m,3.222,85.1,0.078
15.5,m,3.571,85.7,0.077
16,m,3.919,86.4,0.077
