sex,age_month,short_stature,overweight,obese
m,0,46.1,NA,NA
m,1,50.8,NA,NA
m,2,54.4,NA,NA
m,3,57.3,NA,NA
m,4,59.7,NA,NA
m,5,61.7,NA,NA
m,6,63.3,NA,NA
m,7,64.8,NA,NA
m,8,66.2,NA,NA
m,9,67.5,NA,NA
m,10,68.7,NA,NA
m,11,69.9,NA,NA
m,12,71,NA,NA
m,13,72.1,NA,NA
m,14,73.1,NA,NA
m,15,74.1,NA,NA
m,16,75,NA,NA
m,17,76,NA,NA
m,18,76.9,NA,NA
m,19,77.7,NA,NA
m,20,78.6,NA,NA
m,21,79.4,NA,NA
m,22,80.2,NA,NA
m,23,81,NA,NA
m,24,81,17.4,18.3
m,25,81.7,17.4,18.3
m,26,82.5,17.3,18.2
m,27,83.1,17.3,18.2
m,28,83.8,17.2,18.1
m,29,84.5,17.2,18.1
m,30,85.1,17.2,18
m,31,85.7,17.1,18
m,32,86.4,17.1,18
m,33,86.9,17,17.9
m,34,87.5,17,17.9
m,35,88.1,17,17.9
m,36,89.3,17,17.6
m,37,89.8,17,17.6
m,38,90.3,17,17.7
m,39,90.8,17.1,17.7
m,40,91.3,17.1,17.7
m,41,91.8,17.1,17.7
m,42,92.3,17.1,17.8
m,43,92.8,17.1,17.8
m,44,93.2,17.1,17.8
m,45,93.7,17.1,17.8
m,46,94.2,17.1,17.9
m,47,94.7,17.2,17.9
m,48,95.2,17.2,17.9
m,49,95.7,17.2,18
m,50,96.2,17.2,18
m,51,96.7,17.2,18
m,52,97.2,17.2,18
m,53,97.6,17.2,18.1
m,54,98.1,17.3,18.1
m,55,98.6,17.3,18.1
m,56,99.1,17.3,18.2
m,57,99.6,17.3,18.2
m,58,100.1,17.3,18.2
m,59,100.6,17.3,18.2
m,60,101.1,17.4,18.3
m,61,101.5,17.4,18.3
m,62,102,17.4,18.4
m,63,102.5,17.4,18.4
m,64,103,17.4,18.4
m,65,103.5,17.5,18.5
m,66,104,17.5,18.5
m,67,104.5,17.5,18.5
m,68,104.9,17.5,18.6
m,69,105.4,17.5,18.6
m,70,105.9,17.6,18.6
m,71,106.4,17.6,18.7
m,72,106.9,17.6,18.8
m,73,107.3,17.7,18.8
m,74,107.8,17.7,18.9
m,75,108.3,17.8,19
m,76,108.8,17.8,19
m,77,109.2,17.9,19.1
m,78,109.7,18,19.2
m,79,110.2,18,19.2
m,80,110.7,18.1,19.3
m,81,111.1,18.1,19.4
m,82,111.6,18.2,19.5
m,83,112.1,18.2,19.5
m,84,112.5,18.3,19.6
m,85,113,18.4,19.7
m,86,113.4,18.4,19.8
m,87,113.9,18.5,19.9
m,88,114.4,18.6,20
m,89,114.8,18.6,20.1
m,90,115.3,18.7,20.2
m,91,115.7,18.8,20.3
m,92,116.1,18.9,20.4
m,93,116.6,18.9,20.5
m,94,117,19,20.5
m,95,117.5,19.1,20.6
m,96,117.9,19.2,20.7
m,97,118.3,19.2,20.8
m,98,118.7,19.3,20.9
m,99,119.2,19.4,21
m,100,119.6,19.5,21.1
m,101,120,19.6,21.2
m,102,120.4,19.7,21.3
m,103,120.9,19.8,21.5
m,104,121.3,19.8,21.6
m,105,121.7,19.9,21.7
m,106,122.1,20,21.8
m,107,122.6,20.1,21.9
m,108,123,20.2,22
m,109,123.4,20.3,22.1
m,110,123.8,20.4,22.2
m,111,124.2,20.5,22.3
m,112,124.6,20.5,22.4
m,113,125,20.6,22.5
m,114,125.4,20.7,22.6
m,115,125.8,20.8,22.7
m,116,126.2,20.9,22.8
m,117,126.6,21,22.9
m,118,127,21.1,23
m,119,127.4,21.1,23.1
m,120,127.8,21.2,23.1
m,121,128.2,21.3,23.2
m,122,128.6,21.4,23.3
m,123,129,21.5,23.4
m,124,129.4,21.6,23.5
m,125,129.8,21.6,23.6
m,126,130.1,21.7,23.7
m,127,130.5,21.8,23.8
m,128,130.9,21.9,23.9
m,129,131.3,22,24
m,130,131.7,22,24
m,131,132.1,22.1,24.1
m,132,132.5,22.2,24.2
m,133,132.9,22.3,24.3
m,134,133.3,22.3,24.4
m,135,133.7,22.4,24.4
m,136,134.1,22.5,24.5
m,137,134.5,22.5,24.6
m,138,134.9,22.6,24.7
m,139,135.3,22.7,24.7
m,140,135.7,22.7,24.8
m,141,136.1,22.8,24.9
m,142,136.6,22.9,24.9
m,143,137,22.9,25
m,144,137.4,23,25.1
m,145,137.9,23,25.1
