sex,age,age_month,L_weight,M_weight,S_weight
1,0,0,0.3487,3.3464,0.146
1,,1,0.2297,4.4709,0.134
1,,2,0.197,5.5675,0.1239
1,,3,0.1738,6.3762,0.1173
1,,4,0.1553,7.0023,0.1132
1,,5,0.1395,7.5105,0.1108
1,,6,0.1257,7.934,0.1096
1,,7,0.1134,8.297,0.109
1,,8,0.1021,8.6151,0.1088
1,,9,0.0917,8.9014,0.1088
1,,10,0.082,9.1649,0.1089
1,,11,0.073,9.4122,0.1091
1,1,12,0.0644,9.6479,0.1093
1,,13,0.0563,9.8749,0.1095
1,,14,0.0487,10.0953,0.1098
1,,15,0.0413,10.3108,0.1101
1,,16,0.0343,10.5228,0.1104
1,,17,0.0275,10.7319,0.1108
1,,18,0.0211,10.9385,0.1112
1,,19,0.0148,11.143,0.1116
1,,20,0.0087,11.3462,0.1121
1,,21,0.0029,11.5486,0.1126
1,,22,-0.0028,11.7504,0.1131
1,,23,-0.0083,11.9514,0.1137
1,2,24,-0.0137,12.1515,0.1143
1,,25,-0.0189,12.3502,0.1149
1,,26,-0.024,12.5466,0.1154
1,,27,-0.0289,12.7401,0.116
1,,28,-0.0337,12.9303,0.1166
1,,29,-0.0385,13.1169,0.1172
1,,30,-0.0431,13.3,0.1178
1,,31,-0.0476,13.4798,0.1184
1,,32,-0.052,13.6567,0.119
1,,33,-0.0564,13.8309,0.1195
1,,34,-0.0606,14.0031,0.1201
1,,35,-0.0648,14.1736,0.1206
1,3,36,0.0567,14.7381,0.0969
1,,37,-0.0147,14.911,0.0981
1,,38,-0.0804,15.0839,0.0993
1,,39,-0.1409,15.2569,0.1005
1,,40,-0.1966,15.4299,0.1016
1,,41,-0.248,15.603,0.1027
1,,42,-0.299,15.7775,0.1038
1,,43,-0.3461,15.9521,0.1049
1,,44,-0.3895,16.1268,0.106
1,,45,-0.4297,16.3015,0.107
1,,46,-0.4669,16.4763,0.108
1,,47,-0.5013,16.6512,0.1089
1,4,48,-0.5361,16.8276,0.1099
1,,49,-0.5684,17.0041,0.1108
1,,50,-0.5983,17.1807,0.1118
1,,51,-0.6261,17.3573,0.1127
1,,52,-0.6518,17.534,0.1136
1,,53,-0.6758,17.7108,0.1144
1,,54,-0.6998,17.8888,0.1153
1,,55,-0.7222,18.067,0.1161
1,,56,-0.743,18.2452,0.117
1,,57,-0.7623,18.4235,0.1178
1,,58,-0.7803,18.6018,0.1186
1,,59,-0.7971,18.7802,0.1194
1,5,60,-0.8162,18.9625,0.1202
