sex,age_month,weight,percentile
m,0,2.3,1
m,0,2.5,3
m,0,2.6,5
m,0,2.8,10
m,0,2.9,15
m,0,3,25
m,0,3.3,50
m,0,3.7,75
m,0,3.9,85
m,0,4,90
m,0,4.2,95
m,0,4.3,97
m,0,4.6,99
m,1,3.2,1
m,1,3.4,3
m,1,3.6,5
m,1,3.8,10
m,1,3.9,15
m,1,4.1,25
m,1,4.5,50
m,1,4.9,75
m,1,5.1,85
m,1,5.3,90
m,1,5.5,95
m,1,5.7,97
m,1,6,99
m,2,4.1,1
m,2,4.4,3
m,2,4.5,5
m,2,4.7,10
m,2,4.9,15
m,2,5.1,25
m,2,5.6,50
m,2,6,75
m,2,6.3,85
m,2,6.5,90
m,2,6.8,95
m,2,7,97
m,2,7.4,99
m,3,4.8,1
m,3,5.1,3
m,3,5.2,5
m,3,5.5,10
m,3,5.6,15
m,3,5.9,25
m,3,6.4,50
m,3,6.9,75
m,3,7.2,85
m,3,7.4,90
m,3,7.7,95
m,3,7.9,97
m,3,8.3,99
m,4,5.4,1
m,4,5.6,3
m,4,5.8,5
m,4,6,10
m,4,6.2,15
m,4,6.5,25
m,4,7,50
m,4,7.6,75
m,4,7.9,85
m,4,8.1,90
m,4,8.4,95
m,4,8.6,97
m,4,9.1,99
m,5,5.8,1
m,5,6.1,3
m,5,6.2,5
m,5,6.5,10
m,5,6.7,15
m,5,7,25
m,5,7.5,50
m,5,8.1,75
m,5,8.4,85
m,5,8.6,90
m,5,9,95
m,5,9.2,97
m,5,9.7,99
m,6,6.1,1
m,6,6.4,3
m,6,6.6,5
m,6,6.9,10
m,6,7.1,15
m,6,7.4,25
m,6,7.9,50
m,6,8.5,75
m,6,8.9,85
m,6,9.1,90
m,6,9.5,95
m,6,9.7,97
m,6,10.2,99
m,7,6.4,1
m,7,6.7,3
m,7,6.9,5
m,7,7.2,10
m,7,7.4,15
m,7,7.7,25
m,7,8.3,50
m,7,8.9,75
m,7,9.3,85
m,7,9.5,90
m,7,9.9,95
m,7,10.2,97
m,7,10.7,99
m,8,6.7,1
m,8,7,3
m,8,7.2,5
m,8,7.5,10
m,8,7.7,15
m,8,8,25
m,8,8.6,50
m,8,9.3,75
m,8,9.6,85
m,8,9.9,90
m,8,10.3,95
m,8,10.5,97
m,8,11.1,99
m,9,6.9,1
m,9,7.2,3
m,9,7.4,5
m,9,7.7,10
m,9,7.9,15
m,9,8.3,25
m,9,8.9,50
m,9,9.6,75
m,9,10,85
m,9,10.2,90
m,9,10.6,95
m,9,10.9,97
m,9,11.4,99
m,10,7.1,1
m,10,7.5,3
m,10,7.7,5
m,10,8,10
m,10,8.2,15
m,10,8.5,25
m,10,9.2,50
m,10,9.9,75
m,10,10.3,85
m,10,10.5,90
m,10,10.9,95
m,10,11.2,97
m,10,11.8,99
m,11,7.3,1
m,11,7.7,3
m,11,7.9,5
m,11,8.2,10
m,11,8.4,15
m,11,8.7,25
m,11,9.4,50
m,11,10.1,75
m,11,10.5,85
m,11,10.8,90
m,11,11.2,95
m,11,11.5,97
m,11,12.1,99
m,12,7.5,1
m,12,7.8,3
m,12,8.1,5
m,12,8.4,10
m,12,8.6,15
m,12,9,25
m,12,9.6,50
m,12,10.4,75
m,12,10.8,85
m,12,11.1,90
m,12,11.5,95
m,12,11.8,97
m,12,12.4,99
m,13,7.6,1
m,13,8,3
m,13,8.2,5
m,13,8.6,10
m,13,8.8,15
m,13,9.2,25
m,13,9.9,50
m,13,10.6,75
m,13,11.1,85
m,13,11.4,90
m,13,11.8,95
m,13,12.1,97
m,13,12.7,99
m,14,7.8,1
m,14,8.2,3
m,14,8.4,5
m,14,8.8,10
m,14,9,15
m,14,9.4,25
m,14,10.1,50
m,14,10.9,75
m,14,11.3,85
m,14,11.6,90
m,14,12.1,95
m,14,12.4,97
m,14,13,99
m,15,8,1
m,15,8.4,3
m,15,8.6,5
m,15,9,10
m,15,9.2,15
m,15,9.6,25
m,15,10.3,50
m,15,11.1,75
m,15,11.6,85
m,15,11.9,90
m,15,12.3,95
m,15,12.7,97
